,Flow Rate,kWh/BBL,site_id
45.0,10994.628,0.596,Calumet SWD
46.0,11451.4,0.612,Calumet SWD
48.0,11780.576,0.67,Calumet SWD
49.0,12193.108,0.686,Calumet SWD
50.0,10537.047,0.787,Calumet SWD
51.0,12086.107,0.764,Calumet SWD
52.0,11503.003,0.815,Calumet SWD
53.0,13477.875,0.782,Calumet SWD
54.0,13095.556,0.827,Calumet SWD
55.0,14188.429,0.837,Calumet SWD
56.0,14165.087,0.871,Calumet SWD
57.0,15720.764,0.85,Calumet SWD
58.0,16138.029,0.876,Calumet SWD
59.0,16892.549,0.894,Calumet SWD
60.0,18388.286,0.886,Calumet SWD
