Frequency,Flow Rate,kWh/BBL,norm_perc_from_BEP
42.0,8798.167,0.617,
43.0,9379.263,0.626,
44.0,10545.318,0.613,3.587
45.0,10616.649,0.613,-0.818
46.0,11639.673,0.643,1.355
47.0,11676.385,0.643,-0.229
48.0,12388.079,0.681,-0.606
49.0,12430.927,0.684,0.834
50.0,13932.706,0.704,1.691
51.0,13955.002,0.708,2.573
52.0,14946.549,0.741,2.271
53.0,15093.055,0.744,0.51
54.0,15684.307,0.752,-1.342
55.0,16975.25,0.768,0.557
56.0,16858.552,0.784,-1.782
57.0,18019.182,0.782,0.187
58.0,18740.692,0.804,5.657
59.0,18873.198,0.824,0.089
