Frequency,Flow Rate,kWh/BBL,norm_perc_from_BEP
0.0,,,
37.0,6673.0,0.563,
39.0,7276.0,0.602,
40.0,8688.6,0.602,
41.0,9103.75,0.662,
42.0,9441.0,0.641,
43.0,7524.0,0.749,
44.0,13061.0,0.553,
45.0,8447.0,0.85,
47.0,12113.349,0.679,-2.045
48.0,12295.901,0.681,-2.681
49.0,12901.195,0.691,-2.404
50.0,13489.199,0.708,-2.096
51.0,13757.3,0.727,-3.633
52.0,14845.1,0.744,1.234
53.0,14937.19,0.75,-0.597
54.0,15714.679,0.765,1.5
55.0,16217.941,0.763,3.372
56.0,16529.818,0.784,1.721
57.0,17185.474,0.807,2.794
58.0,17585.478,0.829,
